iter	Passed	Remaining
879	2011	274
880	2012	271
881	2014	269
882	2015	267
883	2018	264
884	2020	262
885	2021	260
886	2022	257
887	2023	255
888	2025	252
889	2026	250
890	2027	248
891	2029	245
892	2031	243
893	2032	241
894	2034	238
895	2035	236
896	2037	233
897	2038	231
898	2039	229
899	2041	226
900	2042	224
901	2044	222
902	2046	219
903	2048	217
904	2050	215
905	2052	212
906	2053	210
907	2054	208
908	2055	205
909	2057	203
910	2059	201
911	2062	198
912	2065	196
913	2066	194
914	2068	192
915	2070	189
916	2073	187
917	2077	185
918	2079	183
919	2080	180
920	2081	178
921	2083	176
922	2085	173
923	2086	171
924	2088	169
925	2091	167
926	2093	164
927	2094	162
928	2096	160
929	2098	157
930	2099	155
931	2100	153
932	2103	151
933	2105	148
934	2108	146
935	2109	144
936	2111	141
937	2112	139
938	2113	137
939	2115	135
940	2117	132
941	2119	130
942	2122	128
943	2123	125
944	2124	123
945	2126	121
946	2128	119
947	2129	116
948	2131	114
949	2132	112
950	2135	110
951	2136	107
952	2140	105
953	2141	103
954	2143	100
955	2144	98
956	2146	96
957	2148	94
958	2151	91
959	2153	89
960	2155	87
961	2156	85
962	2158	82
963	2162	80
964	2165	78
965	2167	76
966	2168	74
967	2169	71
968	2171	69
969	2173	67
970	2174	64
971	2176	62
972	2178	60
973	2195	58
974	2198	56
975	2199	54
976	2201	51
977	2202	49
978	2204	47
979	2205	45
980	2207	42
981	2211	40
982	2214	38
983	2216	36
984	2217	33
985	2219	31
986	2220	29
987	2221	26
988	2223	24
989	2225	22
990	2227	20
991	2228	17
992	2230	15
993	2231	13
994	2232	11
995	2234	8
996	2236	6
997	2239	4
998	2241	2
999	2243	0
