iter	Passed	Remaining
375	786	1305
376	789	1304
377	791	1302
378	794	1301
379	796	1299
380	798	1298
381	800	1295
382	802	1293
383	804	1290
384	806	1288
385	808	1285
386	810	1283
387	812	1281
388	813	1278
389	815	1275
390	817	1272
391	818	1270
392	820	1267
393	822	1265
394	824	1262
395	826	1260
396	828	1258
397	830	1255
398	831	1252
399	833	1250
400	835	1247
401	836	1244
402	839	1242
403	841	1240
404	843	1239
405	845	1237
406	847	1234
407	849	1232
408	850	1229
409	852	1226
410	854	1224
411	856	1221
412	857	1219
413	859	1216
414	861	1214
415	863	1211
416	864	1209
417	866	1206
418	868	1204
419	870	1202
420	873	1201
421	875	1199
422	877	1197
423	879	1194
424	881	1193
425	883	1190
426	885	1188
427	887	1186
428	890	1184
429	892	1182
430	894	1180
431	896	1178
432	898	1176
433	900	1174
434	903	1172
435	904	1170
436	906	1168
437	908	1166
438	911	1164
439	912	1161
440	914	1159
441	916	1157
442	918	1154
443	920	1152
444	922	1150
445	924	1147
446	925	1145
447	928	1143
448	930	1141
449	932	1139
450	934	1137
451	936	1135
452	938	1133
453	940	1131
454	942	1129
455	944	1126
456	946	1124
457	949	1123
458	951	1121
459	954	1119
460	956	1117
461	958	1115
462	960	1114
463	963	1113
464	965	1111
465	968	1109
466	971	1109
467	974	1107
468	979	1108
469	981	1107
470	984	1106
471	990	1107
472	994	1108
473	997	1107
474	1003	1108
475	1006	1107
476	1011	1109
477	1015	1108
478	1021	1110
479	1025	1111
480	1031	1113
481	1044	1122
482	1048	1121
483	1051	1120
484	1056	1122
485	1061	1122
486	1064	1121
487	1074	1127
488	1082	1131
489	1088	1133
490	1091	1131
491	1094	1130
492	1097	1128
493	1101	1127
494	1103	1125
495	1107	1125
496	1109	1123
497	1112	1121
498	1115	1119
499	1117	1117
500	1121	1117
501	1127	1118
502	1130	1116
503	1134	1116
504	1137	1114
505	1142	1115
506	1145	1114
507	1148	1112
508	1151	1110
509	1153	1108
510	1156	1106
511	1159	1104
512	1161	1103
513	1164	1101
514	1167	1099
515	1170	1098
516	1173	1096
517	1178	1096
518	1182	1095
519	1185	1094
520	1189	1093
521	1192	1092
522	1196	1090
523	1199	1089
524	1203	1088
525	1205	1086
526	1209	1085
527	1212	1083
528	1214	1081
529	1217	1079
530	1220	1078
531	1225	1077
532	1227	1075
533	1230	1073
534	1233	1072
535	1237	1071
536	1240	1069
537	1242	1067
538	1244	1064
539	1248	1063
540	1251	1061
541	1254	1059
542	1256	1057
543	1260	1056
544	1263	1055
545	1273	1058
546	1278	1058
547	1282	1057
548	1286	1056
549	1289	1055
550	1293	1054
551	1298	1053
552	1302	1053
553	1307	1052
554	1310	1050
555	1313	1048
556	1317	1047
557	1329	1053
558	1334	1053
559	1338	1051
560	1341	1049
561	1344	1048
562	1347	1046
563	1350	1044
564	1353	1042
565	1359	1042
566	1363	1040
567	1366	1039
568	1368	1036
569	1371	1035
570	1375	1033
571	1379	1032
572	1382	1030
573	1388	1030
574	1392	1029
575	1396	1028
576	1399	1026
577	1404	1025
578	1412	1027
579	1418	1027
580	1423	1026
581	1426	1024
582	1430	1023
583	1433	1021
584	1438	1020
585	1441	1018
586	1446	1017
587	1455	1020
588	1459	1018
589	1462	1016
590	1465	1014
591	1473	1015
592	1476	1013
593	1479	1010
594	1485	1010
595	1488	1009
596	1491	1006
597	1494	1004
598	1498	1003
599	1501	1000
600	1506	999
601	1510	998
602	1515	997
603	1518	995
604	1523	994
605	1526	992
606	1530	990
607	1532	988
608	1535	986
609	1543	986
610	1546	984
611	1550	983
612	1553	980
613	1557	979
614	1560	976
615	1566	976
616	1570	974
617	1575	973
618	1579	972
619	1585	972
620	1590	970
621	1594	968
622	1596	966
623	1599	963
624	1604	962
625	1607	960
626	1610	958
627	1615	956
628	1619	955
629	1623	953
630	1626	951
631	1629	949
632	1633	947
633	1636	944
634	1642	944
635	1654	946
636	1657	944
637	1660	942
638	1667	941
639	1672	940
640	1676	939
641	1680	937
642	1685	935
643	1691	934
644	1695	933
645	1699	931
646	1713	935
647	1718	933
648	1726	933
649	1730	931
650	1736	931
651	1740	928
652	1744	926
653	1747	924
654	1750	922
655	1753	919
656	1756	917
657	1759	914
658	1763	912
659	1765	909
660	1770	908
661	1777	907
662	1781	905
663	1787	904
664	1791	902
665	1794	899
666	1797	897
667	1806	897
668	1810	895
669	1814	893
670	1817	891
671	1820	888
672	1823	886
673	1826	883
674	1829	880
675	1833	878
676	1839	877
677	1846	876
678	1849	874
679	1853	872
680	1856	869
681	1863	868
682	1866	866
683	1869	863
684	1874	861
685	1878	859
686	1881	857
687	1884	854
688	1887	851
689	1890	849
690	1893	846
691	1897	844
692	1900	842
693	1904	839
694	1907	837
695	1911	834
696	1914	832
697	1917	829
698	1920	826
699	1924	824
700	1927	822
701	1930	819
702	1933	817
703	1939	815
704	1944	813
705	1946	810
706	1949	808
707	1953	805
708	1962	805
709	1965	802
710	1969	800
711	1972	797
712	1976	795
713	1979	793
714	1982	790
715	1985	787
716	1988	784
717	1991	782
718	1995	779
719	1998	777
720	2001	774
721	2004	771
722	2007	769
723	2010	766
724	2013	763
725	2016	761
726	2019	758
727	2022	755
728	2025	753
729	2029	750
730	2034	748
731	2037	745
732	2040	743
733	2043	740
734	2046	737
735	2049	735
736	2053	732
737	2056	730
738	2060	727
739	2063	724
740	2066	722
741	2070	719
742	2072	717
743	2076	714
744	2079	711
745	2082	709
746	2085	706
747	2089	703
748	2092	701
749	2095	698
750	2099	695
751	2102	693
752	2107	691
753	2110	688
754	2114	686
755	2118	683
756	2121	680
757	2125	678
758	2131	676
759	2135	674
760	2138	671
761	2142	669
762	2145	666
763	2148	663
764	2152	661
765	2155	658
766	2158	655
767	2162	653
768	2165	650
769	2169	648
770	2172	645
771	2176	642
772	2178	639
773	2182	637
774	2185	634
775	2188	631
776	2191	628
777	2194	626
778	2198	623
779	2200	620
780	2203	617
781	2206	615
782	2210	612
783	2213	609
784	2216	607
785	2219	604
786	2222	601
787	2225	598
788	2228	595
789	2231	593
790	2235	590
791	2237	587
792	2240	584
793	2243	582
794	2246	579
795	2249	576
796	2252	573
797	2255	570
798	2258	568
799	2261	565
800	2264	562
801	2267	559
802	2269	556
803	2274	554
804	2277	551
805	2280	548
806	2283	546
807	2286	543
808	2290	540
809	2293	537
810	2295	535
811	2298	532
812	2301	529
813	2304	526
814	2307	523
815	2310	520
816	2313	518
817	2316	515
818	2319	512
819	2322	509
820	2325	506
821	2328	504
822	2332	501
823	2335	498
824	2338	496
825	2342	493
826	2346	490
827	2350	488
828	2354	485
829	2357	482
830	2360	480
831	2363	477
832	2367	474
833	2370	471
834	2373	468
835	2375	466
836	2378	463
837	2381	460
838	2384	457
839	2387	454
840	2392	452
841	2395	449
842	2398	446
843	2401	443
844	2404	441
845	2408	438
846	2411	435
847	2414	432
848	2417	429
849	2420	427
850	2422	424
851	2425	421
852	2428	418
853	2432	415
854	2434	412
855	2437	410
856	2440	407
857	2443	404
858	2445	401
859	2448	398
860	2451	395
861	2454	392
862	2457	390
863	2460	387
864	2463	384
865	2466	381
866	2468	378
867	2471	375
868	2474	373
869	2478	370
870	2481	367
871	2484	364
872	2486	361
873	2489	358
874	2491	355
875	2494	353
876	2497	350
877	2499	347
878	2502	344
879	2505	341
880	2507	338
881	2510	335
882	2513	333
883	2515	330
884	2518	327
885	2521	324
886	2523	321
887	2527	318
888	2529	315
889	2532	313
890	2535	310
891	2538	307
892	2541	304
893	2543	301
894	2546	298
895	2548	295
896	2551	292
897	2554	290
898	2556	287
899	2559	284
900	2561	281
901	2565	278
902	2567	275
903	2570	272
904	2572	270
905	2575	267
906	2577	264
907	2580	261
908	2583	258
909	2585	255
910	2588	252
911	2591	250
912	2593	247
913	2596	244
914	2599	241
915	2601	238
916	2604	235
917	2607	232
918	2610	230
919	2613	227
920	2615	224
921	2618	221
922	2621	218
923	2624	215
924	2626	212
925	2629	210
926	2632	207
927	2635	204
928	2638	201
929	2641	198
930	2643	195
931	2646	193
932	2648	190
933	2651	187
934	2654	184
935	2657	181
936	2659	178
937	2663	176
938	2666	173
939	2669	170
940	2671	167
941	2674	164
942	2677	161
943	2679	158
944	2682	156
945	2685	153
946	2687	150
947	2690	147
948	2693	144
949	2696	141
950	2699	139
951	2701	136
952	2704	133
953	2707	130
954	2709	127
955	2712	124
956	2715	122
957	2718	119
958	2720	116
959	2724	113
960	2727	110
961	2731	107
962	2735	105
963	2738	102
964	2741	99
965	2744	96
966	2746	93
967	2749	90
968	2751	88
969	2754	85
970	2756	82
971	2759	79
972	2762	76
973	2764	73
974	2767	70
975	2770	68
976	2772	65
977	2775	62
978	2778	59
979	2780	56
980	2783	53
981	2786	51
982	2790	48
983	2793	45
984	2796	42
985	2798	39
986	2801	36
987	2803	34
988	2806	31
989	2808	28
990	2811	25
991	2813	22
992	2816	19
993	2819	17
994	2821	14
995	2824	11
996	2826	8
997	2829	5
998	2831	2
999	2834	0
